rootScript, transitiveSuccessors, treeDepth, treeWidth
kkrt,5,5,2
vzaxbzkm,2,3,1
awnla,9,10,1
eswb,4,5,1
hcbra,1,2,1
bvgejjqz,1,2,1
ghgp,1,2,1
pptxcbbp,2,3,1
mugz,7,7,2
oqds,3,4,1
oqdb,3,3,2
oqct,1,2,1
isaj,9,8,2
isag,2,3,1
oqcf,1,2,1
vabh,1,2,1
zeeh,2,3,1
esrw,1,2,1
aoeua,60,13,17
aaynujwz,4,3,3
vadx,1,2,1
kckubmzl,2,3,1
uawkemay,1,2,1
esps,1,2,1
vacj,3,3,2
vani,1,2,1
esnv,521,317,10
cqhs,1,2,1
lyoma,1,2,1
esmq,1,2,1
mupe,5,4,3
muoq,1,2,1
bhebgmpo,2,3,1
kkly,1,2,1
isjk,6,5,3
svig,6,7,1
bigoxlig,1,2,1
srcka,1,2,1
dflpa,1,2,1
kkkm,1,2,1
ibvqudeq,1,2,1
kkff,2,3,1
opun,3,4,1
svdr,1,2,1
ennwa,2,3,1
isbz,2,3,1
svqxibdq,1,2,1
vall,2,2,2
bwija,2,3,1
kkgx,1,2,1
vtwzztul,1,2,1
ckepb,2,3,1
esef,3,4,1
vavf,3,4,1
irms,1,2,1
jjibweil,1,2,1
vaut,1,2,1
zeyq,2,3,1
muyb,2,3,1
mmlya,2,3,1
kkcn,1,2,1
iror,4,5,1
iroq,1,2,1
irpf,1,2,1
muze,57,16,22
vaxt,2,3,1
suzp,6,7,1
sznfa,1,2,1
irip,1,2,1
zevj,1,2,1
wstexemm,1,2,1
esqnbykb,16,10,4
lrkxb,1,2,1
hvcwb,6,5,2
ervudnvn,14,10,3
zewo,4,5,1
irvk,1,2,1
iruv,1,2,1
qcovvxgu,1,2,1
ghqe,1,2,1
kjyd,1,2,1
yqsqa,2,2,2
kjzs,8,8,2
oqkv,1,2,1
nolwgexu,3,4,1
mvch,5,6,1
cpzmrpcz,1,2,1
myjoa,57,56,2
qgvmqtmq,63,52,2
erzn,1,2,1
xeibnlbo,1,2,1
cqvl,11,10,2
cqsr,4,5,1
vazd,1,2,1
eryj,2,3,1
pfwrb,1,2,1
zeph,1,2,1
nuaoqair,2,3,1
ngxfjzki,1,2,1
sutr,3,4,1
tsbnkqps,1,2,1
suuf,1,2,1
errp,1,2,1
fexkb,1,2,1
cozs,2,3,1
wyupngwl,1,2,1
kluu,1,2,1
gsqxdcre,6,7,1
mvkd,1,2,1
zdjz,5,5,2
dbbfkteo,1,2,1
zdjf,2,3,1
mreslpqb,6,6,2
bhehgpzk,10,11,1
zdhr,4,5,1
mviv,2,3,1
ggex,2,3,1
zder,1,2,1
zdex,4,5,1
ehbvudes,5,4,3
klsm,1,2,1
orbc,1,2,1
ermm,1,2,1
qatqzgbo,3,4,1
iqzh,7,8,1
mvfm,2,2,2
iqyn,2,3,1
suif,1,2,1
mvtl,15,15,2
mvty,1,2,1
dmrob,5,5,2
cpcf,2,3,1
wkzmmbbz,1,2,1
zdbi,1,2,1
zwyhfgxs,1,2,1
mvro,1,2,1
mvqz,10,8,3
dlsnekuy,4,5,1
clpmdrsl,1,2,1
zagzdkyb,2,3,1
tpihgnol,37,31,2
ircw,3,4,1
klir,1,2,1
oqxm,1,2,1
iytna,1,2,1
awoza,8,7,2
enoxa,2,3,1
awozc,1,2,1
mvnp,4,4,2
klhh,1,2,1
cpae,1,2,1
erfz,3,4,1
irae,4,3,3
kleh,6,7,1
zjwga,1,2,1
ggxk,1,2,1
sngxflsv,4,4,2
mvyr,2,3,1
ggvf,2,3,1
erdb,1,2,1
gzcqlpnj,53,33,5
jyvsrcem,2,3,1
vkmtcsdf,4,5,1
arxpa,26,18,2
orqz,5,6,1
orsn,1,2,1
gczva,3,4,1
mvyo,20,11,9
zgzja,5,5,2
wquzjpwh,5,4,2
vkkma,5,6,1
cpsxvebc,2,3,1
zdue,5,5,2
ucmvspez,1,2,1
ptviwzgz,1,2,1
eqwr,1,2,1
iqvp,4,5,1
kkzn,1,2,1
cpwf,2,2,2
sttw,20,17,3
gybqcttk,1,2,1
cpob,1,2,1
kkxb,1,2,1
hgwla,1,2,1
iqqq,2,3,1
matlavjh,32,30,2
axgtjhug,1,2,1
lwmua,2,3,1
bhfdyuuf,13,11,3
iiippuvc,2,3,1
ggis,1,2,1
xhsxkagm,7,8,1
nmoztfgr,19,19,2
ftnwa,16,9,8
fjmma,1,2,1
orie,11,10,2
kkwd,1,2,1
qypy,1,2,1
euvs,1,2,1
mwhi,8,9,1
msiqtzon,1,2,1
gjgm,1,2,1
mtnma,2,3,1
zcbx,2,3,1
mwjp,3,2,3
skbwbogo,3,4,1
pjjfa,1,2,1
agttprqc,1,2,1
aogwa,2,2,2
stmk,6,7,1
kyqvvhbt,2,2,2
euzh,1,2,1
zctca,1,2,1
stoe,1,2,1
gjny,1,2,1
stms,3,4,1
kywfa,1,2,1
mwpn,2,3,1
xgoifdxk,2,3,1
onpc,1,2,1
ajpqa,4,5,1
zumifzwl,1,2,1
iuiz,1,2,1
zbzr,11,12,1
iulc,2,3,1
mwtv,1,2,1
ontp,1,2,1
iukt,2,3,1
cskw,2,3,1
csky,3,4,1
kmpo,4,5,1
arwba,15,16,1
kmqm,1,2,1
csjv,4,5,1
ayybtleg,2,3,1
yjhfkxwf,1,2,1
euee,2,2,2
zcrz,8,9,1
oojj,1,2,1
ftpvjlbx,1,2,1
qokza,2,3,1
hsuhcngg,1,2,1
qyal,2,3,1
aogha,3,3,2
plfecqnk,1,2,1
iksja,1,2,1
csnh,1,2,1
oomv,8,4,6
qydz,2,3,1
lneka,8,7,2
kmgz,1,2,1
eugo,2,3,1
wcsja,4,5,1
wdvnfakq,1,2,1
sjauflxv,4,5,1
qygj,8,9,1
lymva,1,2,1
mxap,1,2,1
oobx,3,4,1
gjpn,1,2,1
klys,1,2,1
csus,1,2,1
gjqz,1,2,1
gjrq,1,2,1
vdjbpnle,2,3,1
sspv,1,2,1
gjst,5,6,1
mxei,14,13,2
jooya,1,2,1
sssr,7,8,1
eubm,30,5,25
qynd,18,6,5
qymg,9,8,3
gjvv,14,13,2
ddsnvcfm,3,4,1
oohv,1,2,1
mxly,1,2,1
wyvka,1,2,1
zbai,13,10,2
oomsihgw,1,2,1
fplhb,7,8,1
pjkga,1,2,1
epsja,1,2,1
gsfestne,1,2,1
qzrc,15,9,3
mxij,1,2,1
knsu,1,2,1
etvm,3,4,1
ezdyb,7,8,1
zbfz,8,9,1
opar,1,2,1
knxw,1,2,1
uiqgquxv,6,7,1
idsna,26,23,2
ssjf,11,5,3
mxmf,14,9,5
iwveofrw,3,4,1
knnp,3,3,2
etjn,1,2,1
nzoguxgh,1,2,1
ootk,4,4,2
etid,3,2,3
crcr,1,2,1
oorb,1,2,1
oorc,1,2,1
mxxx,2,3,1
pllya,1,2,1
etno,12,10,3
kxdda,1,2,1
zjtza,13,8,5
ttbga,4,4,2
knor,1,2,1
crih,2,3,1
oovq,1,2,1
ssaw,17,5,6
pfzkb,1,2,1
knpk,1,2,1
zbrs,1,2,1
bfwxa,4,4,2
ayxca,4,5,1
srvj,1,2,1
gwmquanm,1,2,1
isnw,3,4,1
opoe,13,11,2
aofga,10,11,1
islu,1,2,1
giwh,1,2,1
ywala,3,4,1
qzbg,6,4,4
qzbu,1,2,1
qzbj,3,2,3
qzge,8,7,3
isrc,8,8,2
myaj,1,2,1
dqwua,6,4,4
sorjvrpi,2,3,1
isqr,1,2,1
croi,4,5,1
iykcecrk,2,3,1
opsc,10,11,1
myaz,3,4,1
etev,1,2,1
mybc,4,4,2
qvbtobgm,5,6,1
sryh,2,2,2
qzfi,1,2,1
opev,1,2,1
tcpba,2,2,2
srmq,1,2,1
tcpca,2,3,1
nwxjxqex,1,2,1
qzke,1,2,1
zbip,1,2,1
opcx,1,2,1
opcl,5,2,5
phteruwd,1,2,1
yylha,1,2,1
zboe,1,2,1
crwh,1,2,1
jtcovhjq,1,2,1
qzof,5,6,1
qzpy,1,2,1
nyvhyxvc,1,2,1
giuc,1,2,1
uigca,15,11,3
zrglehdg,1,2,1
giqq,4,4,2
srov,1,2,1
mpmbpgvz,1,2,1
opig,3,4,1
sxrcoavt,2,3,1
altxa,3,4,1
qwxp,2,2,2
aagf,1,2,1
qwxu,2,3,1
vzshpglk,1,2,1
ioan,6,3,3
gliy,23,18,3
qwzh,1,2,1
nstvlqwu,1,2,1
mqjh,2,3,1
rbxwa,2,3,1
ruqfhtct,1,2,1
wgxewewl,6,5,2
gldd,1,2,1
szmo,7,8,1
qwuz,1,2,1
gler,5,5,2
ndnslsqu,1,2,1
qlksa,1,2,1
ewpg,2,3,1
kops,1,2,1
wmmznueh,1,2,1
ahbpgtlm,9,10,1
cbngahwx,7,8,1
szxl,1,2,1
qwox,11,5,5
mmjclpev,5,5,2
bxnkmwoz,5,6,1
qpslmtwb,1,2,1
crcyjatq,1,2,1
lbtda,1,2,1
qwqy,1,2,1
qwse,2,2,2
club,14,13,2
aail,1,2,1
glku,1,2,1
auaca,1,2,1
ibnihhmo,1,2,1
mpzx,1,2,1
dyosxujz,1,2,1
kovr,7,7,2
kowj,2,3,1
insv,3,4,1
glnh,11,9,3
aahs,1,2,1
clpj,1,2,1
gloi,2,3,1
aaib,4,4,2
qwhe,1,2,1
tuksahbm,1,2,1
wweuvnox,1,2,1
mqxw,1,2,1
ogxihpah,20,20,2
aavj,30,21,4
mqwv,2,3,1
cmnd,2,3,1
llvxsybl,1,2,1
fmaixptt,16,10,4
laosa,12,8,4
cmmw,1,2,1
mqud,3,4,1
aasm,3,4,1
gltu,3,4,1
mqtz,2,3,1
mqtn,3,4,1
qwfg,18,13,5
wsjva,2,3,1
aapq,2,2,2
aapx,30,5,25
mqut,2,3,1
infg,9,10,1
ewnk,34,32,2
jqpub,1,2,1
iiqeakny,13,12,2
ennzdwlp,16,13,2
rxkfonss,2,3,1
zate,1,2,1
cmfk,1,2,1
szjj,13,4,8
uwjeaiqw,20,12,2
iolgugni,1,2,1
ewkp,2,3,1
mqre,5,5,2
zaty,3,2,3
atemgpfp,2,3,1
foqclfqn,6,6,2
szdc,1,2,1
qlkvfrwc,1,2,1
vweea,2,3,1
aayp,1,2,1
indv,1,2,1
glera,1,2,1
wzrpgdjh,7,7,2
aaxt,4,4,2
emzfeoqm,1,2,1
cmal,3,4,1
cmai,1,2,1
ovey,5,5,2
abfz,2,3,1
evrw,10,10,2
skxya,1,2,1
mrmb,4,5,1
